"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"0","0.6289360415847862","0.995532751083374","124.3430064082925","180.13230585418972","0.9911841154098511","135.66752514808007","165.2739776341261","0.9861087203025818","111.97643803615196","169.00783842643807","0.9065953493118286","151.51976741217322","180.30572131671738","0.8743979334831238","90.02982345281863","180.18671896605366","0.9833034873008728","177.75792738970588","246.91145365217093","0.988165020942688","80.34800411049837","239.14254787748897","0.9724830985069275","220.8117436427696","320.0284650684458","0.9432883858680725","-1.6471440184350108","259.06617291205754","0.5118343234062195","57.75125740400327","164.2310704594165","0.8498384952545166","53.85948031556373","163.8984990752904","0.2361510843038559","178.70750676572715","343.9961283185841","0.26704007387161255","76.07045292075163","351.54658764864496","0.05810699611902237","179.53026067197715","327.93515365735624","0.05966221168637276","1.1313058192433876","251.72046762652104","0.0369616262614727","49.56477146522672","322.5290700186671","0.03125903382897377","47.22387376174429","323.87507345824116"
"1","0.6328478315297295","0.9960098266601562","125.22058025684233","181.08528069690266","0.9930427074432373","136.34805517258988","165.87522793660122","0.9887493848800659","112.43495168249592","169.5842803685011","0.9129793047904968","152.12351281658496","179.80385029210456","0.8900148272514343","89.36781939338236","180.41654063537058","0.9825417399406433","177.76817172181373","246.33617839982026","0.9879823923110962","80.09562174479167","239.5184488212113","0.9727506637573242","220.78335631127453","319.80724773575776","0.9466584920883179","-3.439138075884651","257.16335060322183","0.49137988686561584","66.85679716222427","171.43641649094306","0.8725152611732483","53.4677223754085","164.191273377005","0.24323469400405884","178.83880016850492","343.4550759644635","0.285580039024353","75.98285749846814","350.7482802129425","0.060870081186294556","179.23266441993465","327.30465509195244","0.05888897925615311","1.5780416501113792","252.64886096515488","0.040496405214071274","49.68661838107639","322.60215016592923","0.03471845015883446","47.17426773769404","324.0346830925056"
"2","0.6291515695698121","0.9955770969390869","124.43431978911357","180.61328989214604","0.9922309517860413","135.62461703431373","165.13659992049227","0.9864588975906372","111.94689382914625","169.16592488246684","0.9018961191177368","151.19244344873366","179.57642681830754","0.8823915719985962","90.08549708946079","179.98415246474005","0.9839633107185364","177.81776577818627","246.5403653035122","0.9884825348854065","80.27622197967729","238.8582968922843","0.9725092649459839","220.40670955882354","320.22090405489496","0.9438421726226807","-1.1531443377725439","259.8403849643944","0.4842947721481323","57.8097673802594","164.4434728031665","0.8695339560508728","53.00993875740401","163.9775098952572","0.2301628589630127","178.68800742953434","343.7106782356195","0.27431365847587585","75.9823548560049","351.0859720685841","0.05866101011633873","179.60042317708334","327.5620722137721","0.06003370136022568","1.3736809624565973","252.68044260750833","0.03856676444411278","49.750677370557604","322.7121430793695","0.03265804052352905","47.40550720613766","324.1470093853706"
"3","0.6347832940518856","0.9951926469802856","124.38716713899102","178.93988415203265","0.9922139048576355","134.68395756740196","165.96148195519913","0.9877261519432068","113.70286330678105","173.03231838530147","0.9187004566192627","151.48274739583334","179.7237213944967","0.8762766718864441","90.25561363868465","179.111079663302","0.982288122177124","177.50102124183007","246.45184272158465","0.9891912937164307","80.09027618208742","237.28486997891318","0.9735804796218872","219.1104185814951","319.5888823112556","0.9418691396713257","0.23491921767689825","257.80506235308354","0.4890211224555969","58.813432681015115","164.70575113212115","0.8664243817329407","53.818502987132355","164.69999870367812","0.2575019299983978","178.7372504340278","344.4182755461837","0.3236547112464905","92.03355577256944","351.57329187983964","0.057399023324251175","179.8340003319036","327.98101104466264","0.0647382065653801","0.8358778361401528","252.38898083172015","0.04214223846793175","48.834164688010624","322.43404962320244","0.033395517617464066","47.812946793300654","324.2988734962666"
"4","0.631218799335115","0.9954989552497864","124.31240106719773","180.6446608821903","0.9923876523971558","134.4272109885621","165.69204144773232","0.9863955974578857","121.51071186938317","167.53066341433907","0.9134739637374878","150.84999234068627","179.49383490908465","0.8722856640815735","90.49151252297794","180.1591235135509","0.9840775728225708","177.91459226919935","246.5687871612279","0.9886033535003662","79.91713579963236","237.21203289200776","0.9743569493293762","218.21024177900327","316.57710522676996","0.9439564943313599","-0.6175415188658472","258.85663868051716","0.4662768840789795","59.55386492161969","164.1401820900166","0.8762843608856201","54.01146583307803","163.90065421045355","0.2546185553073883","179.07958984375","344.5769453470686","0.2815513610839844","76.11888212316177","350.7613082480642","0.05977092683315277","178.74371297998368","326.9966165998341","0.06419769674539566","0.7618171093510647","252.75818951362004","0.04222917929291725","49.58399554483252","322.3642102806969","0.034754421561956406","48.4826700048509","324.06148454784295"
"5","0.635039255461272","0.9954942464828491","124.53713809742648","178.57605520602877","0.9903108477592468","134.83240464154412","166.69092228982302","0.9867566823959351","113.54674894046161","173.29884216848728","0.9151999950408936","150.89757582720588","179.76423145395466","0.8728747963905334","90.02849902982027","179.94399889380531","0.9819934368133545","177.97870710784315","246.8359104932937","0.9892563819885254","80.12709673713236","237.95495497441928","0.9739423394203186","218.14346213745915","316.45690377834626","0.9391014575958252","-1.229343912959878","258.1281543832965","0.5127800107002258","60.071447035845594","159.20602443998897","0.8615583777427673","54.04547797309028","163.91215906733962","0.25277721881866455","178.73452180351308","344.9788375449392","0.3265898823738098","92.57163851868873","352.92046200912614","0.05987821891903877","178.84333192912584","327.5657991392423","0.06598146259784698","1.3617708792094312","252.27430495540656","0.03835899755358696","48.935662562551066","323.604239404729","0.03281299024820328","47.035350924223856","325.1483856471239"
"6","0.6315607156823663","0.9959048628807068","125.2411327486724","180.59959749204924","0.9922897219657898","135.6186331954657","165.6665363142976","0.9881360530853271","112.52283432904413","169.5857549346654","0.9110804200172424","151.167071972018","179.47743643701605","0.8795512318611145","90.21853777318219","180.93294666931695","0.984714925289154","177.72183287377453","246.19481449633577","0.989133894443512","80.23333780126634","237.68410471688333","0.9743587374687195","219.32176776960785","319.8978282287058","0.9393326640129089","-1.2558025783962674","256.1962944638413","0.46286678314208984","61.540838503370104","164.31763235446627","0.8689311146736145","54.63277579912174","164.57031790134127","0.24436116218566895","179.2571901807598","344.557857007052","0.30502352118492126","92.11286956188727","351.9439751279038","0.057770032435655594","179.0915734783497","327.6487637410122","0.0712660476565361","1.4060187495611853","252.0353604206997","0.03859112411737442","50.12160756229576","322.9525783842644","0.033219870179891586","47.63301674836602","324.6218196902655"
"7","0.6361817233264446","0.9952835440635681","123.67165160334969","179.9066324149613","0.9901750087738037","133.86345358455884","167.42580717643807","0.9856313467025757","111.88012216605392","173.9575357352738","0.91738361120224","149.3359853707108","180.61286858752766","0.8631377816200256","91.2475426368464","180.82643762099005","0.9861331582069397","177.8589026756536","245.91446868086285","0.9889817237854004","80.2621719260621","238.24785890832413","0.9761864542961121","218.42786203022877","316.01920068791486","0.9423148036003113","-0.9485119464350682","256.2974561843197","0.5004494786262512","60.07281135110294","164.65929419593476","0.8594703674316406","54.13837108736724","164.7793174000968","0.26208245754241943","179.0137197457108","344.453600318031","0.35945895314216614","92.6114031224469","351.883274854812","0.05282915383577347","179.496479907067","327.683083863385","0.06605719774961472","0.7787834117615146","253.40829494780147","0.03777659684419632","48.64984649458742","322.4321051403485","0.03173765912652016","47.06278483072917","324.44876071626106"
"8","0.6331316320335164","0.9957202076911926","124.35329861111111","179.87774064055588","0.9907917976379395","134.6359751582925","167.6788654158601","0.9870723485946655","111.40551598243465","174.35712696176716","0.9163585305213928","150.1880042381536","179.21742667139105","0.8774672150611877","90.56851256127452","180.3069366185011","0.983098566532135","177.97862732332518","247.03142824426163","0.9885664582252502","80.64508974162582","239.0639583621405","0.9748689532279968","217.89300257863565","315.9033095098175","0.9447838068008423","-0.10614756665198632","259.1482462925194","0.4696524441242218","60.93356662326389","165.51938757432248","0.8809190392494202","54.13295770782272","165.95237529383297","0.2451562136411667","179.04180389603758","344.5085643667036","0.31153619289398193","92.86029092626634","352.0596718577157","0.058911968022584915","179.97174032373368","327.2770434354259","0.0710982009768486","0.22444223266801025","254.0145360896018","0.03601640835404396","47.30948653875613","323.593253076604","0.031219393014907837","45.82989063138277","325.31729639103986"
"9","0.631290186306133","0.9941589832305908","123.60269384446488","179.29982413232855","0.9895965456962585","133.46369325725084","167.1735591382052","0.9861011505126953","111.48484572865605","174.32958012133574","0.9005468487739563","148.78931781045753","179.00395486207137","0.8640609383583069","89.44211473651961","179.7850860325636","0.9896036982536316","180.5536566840278","248.8427626348175","0.9891200065612793","80.72888742085377","238.15582005323563","0.9748183488845825","217.50568065767976","316.75790972414273","0.9541128873825073","-0.9240755692026974","256.5002657459901","0.46860143542289734","60.53503497753268","165.82073380461838","0.8528338670730591","53.554859036713644","166.1303602910675","0.25923943519592285","179.2618495966095","344.3935482058905","0.31387442350387573","92.66071793300654","351.95985507121134","0.060132864862680435","179.93987438725492","327.6592639484237","0.06958818435668945","0.37018585828394673","253.7955711162196","0.034869153052568436","48.69894987617443","323.30161305655423","0.030674396082758904","45.61327566508375","324.9698497130808"
