"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"0","0.5721555400420638","0.9981620907783508","138.87586805555557","165.75567464912888","0.9963860511779785","149.51286764705884","151.76458578194138","0.9931828379631042","121.82698567708334","152.01082212735068","0.8681403994560242","167.31304891748366","167.81998625898785","0.8907886743545532","99.77920432495915","157.9279968801853","0.9861499667167664","202.58576835682192","250.05461296149062","0.9876212477684021","66.85316696665646","231.10058809803652","0.6728200912475586","245.58397480085785","317.1895201016317","0.9072211980819702","13.45358655343648","289.1723092678374","0.27511072158813477","66.59969155305352","140.17739625103707","0.844666600227356","61.456817427491835","144.00548344164824","0.042244233191013336","150.92575571895426","340.8408808075222","0.11610429733991623","61.824101466758584","333.2445316821073","0.05165895074605942","210.52207797181373","312.8501797566372","0.02988625504076481","0.5318147995892694","317.54111500967923","0.025864647701382637","66.97357377195671","322.3095054964049","0.04063591733574867","-7.356456681793811","304.6573605157633"
"1","0.5731400139629841","0.9980498552322388","138.19559334150327","165.39385500207413","0.9967584013938904","149.30496515012257","151.79451461386893","0.9934855103492737","121.77747140522877","152.11042826154593","0.8671759366989136","167.1777662888072","168.10853131049504","0.8818374276161194","100.44578801572713","158.1263179272677","0.9855847954750061","201.3669002757353","249.956530005531","0.9870692491531372","67.31739717371325","230.4706566734652","0.6905657052993774","245.18851485906865","316.38780982093476","0.9044502973556519","14.282423031875512","290.06022495506085","0.28939759731292725","76.53637854881536","132.47609366357855","0.830767810344696","66.24043383629494","146.14214601769913","0.04552837461233139","151.17053462009804","341.2775144323839","0.12052468955516815","73.41239979064542","347.35489836836285","0.04941057413816452","210.9197878370098","312.2937335799226","0.033450569957494736","-1.7022702584858815","310.60099643943585","0.027065753936767578","65.83133074193219","323.522927613385","0.04225768893957138","-7.8730788885378375","307.4951387928651"
"2","0.5715060513466597","0.9981155395507812","138.72092652165034","165.859850318031","0.9966728687286377","149.8119798049428","152.118271009057","0.9934775829315186","121.81898328993056","152.36739167069967","0.8630144000053406","166.8069916768791","167.97513978671185","0.8899519443511963","100.9826500587214","157.6967168487279","0.9839093089103699","202.20050487642976","250.2389013239768","0.9879658818244934","66.2887553296058","230.70294135439715","0.6566407084465027","245.6857798457925","316.56524388136063","0.9013193249702454","13.648061315997754","289.1156275926438","0.29486244916915894","76.40150282118056","132.26289732266318","0.8445063829421997","61.59917295368669","144.01465491910952","0.04375678300857544","151.40277139501634","341.32389034845136","0.11387129873037338","62.17692057291667","333.4608878076604","0.05089876428246498","210.8639386744281","312.78526643736177","0.031757257878780365","-1.856327555538003","311.07120480157636","0.023921174928545952","-5.263164246004392","305.01563148160955","0.04096120223402977","-7.724661733589921","306.9294239145465"
"3","0.572069383061984","0.9980365633964539","138.89298981311276","166.27109223762446","0.9969294667243958","149.88206252553104","152.47686605537888","0.9931505918502808","121.75626468035131","152.38537813709902","0.8689568638801575","167.05057381025327","168.2040702347207","0.8814233541488647","100.38965162888073","157.62757427924504","0.9840484857559204","202.74897556678923","250.65664105710732","0.9877704381942749","66.97283975439134","231.2059628646986","0.6615736484527588","246.2359579248366","315.9325091606748","0.9066540598869324","13.933109457975899","291.5516433040653","0.29098692536354065","78.13822827308007","131.54504286504425","0.8362994194030762","66.4810639425041","146.30016765763276","0.03892683610320091","151.3058651194853","341.70562474073563","0.11342426389455795","62.32275071486929","333.39733562638276","0.05109379440546036","210.63886654922388","312.4629359962666","0.03760731965303421","0.42043234008589603","319.5545945969303","0.03210659697651863","64.10546795215483","321.8526168418142","0.046190883964300156","-7.856422873104321","306.9341230814436"
"4","0.5750124868662918","0.9981104135513306","138.91071793300654","166.4833487451604","0.9966988563537598","150.23696001838235","152.2882512185426","0.9930757284164429","122.0614803538603","152.6300913042727","0.8747316598892212","167.10591235191995","167.72913029763552","0.8827682733535767","100.39021012050654","158.3833623565404","0.9861737489700317","202.90828929227942","250.238885119953","0.9880583882331848","67.22181532118056","230.09579278726494","0.6812019944190979","246.47446576286765","316.205806225802","0.9021586179733276","14.726246353847529","290.8269021363385","0.33668383955955505","77.67439299938727","129.5944429920838","0.8373958468437195","66.70858545241013","144.4365752903761","0.04209557920694351","151.25229779411765","341.83428468957413","0.10730545222759247","62.66730813419118","333.2937919144082","0.04898669570684433","184.59096073325165","290.8685788855089","0.0321914404630661","-1.9046636344560612","310.8613626935841","0.02559131756424904","-4.866801741855597","304.30139052129425","0.041984423995018005","-7.345259922002656","306.3440373513551"
"5","0.5741836405633127","0.9981691241264343","139.01196448631538","166.51522205994195","0.9966824650764465","150.2304974724265","152.83628750691372","0.9931178092956543","122.33884325214461","153.08897305378872","0.8735895752906799","166.85082529105392","168.35915894634957","0.8809707760810852","100.6476189108456","158.93590336352324","0.986508309841156","203.0612042994281","250.56332208413997","0.9877650737762451","67.55774803410948","230.20999874688886","0.663227379322052","246.13554113051472","316.8944124204923","0.9024249911308289","13.659053627961603","291.8220884610067","0.34531205892562866","77.53812104268792","129.24919195934737","0.8227550983428955","69.04207516339869","141.67775922116982","0.04224863275885582","151.99512357026146","341.9703660813053","0.11340771615505219","62.447202595230806","333.4962449875553","0.04910510405898094","210.56257659313727","312.6512915687224","0.03348235785961151","-1.9174355151606541","310.87393701603986","0.02668711729347706","-5.359542447757098","304.13461870851773","0.04566830024123192","-7.5048768286611525","306.1310516627489"
"6","0.5723785775549272","0.9982035160064697","138.94454656862746","166.45016290445244","0.996701180934906","149.87078099468954","152.96002143252213","0.9928067922592163","122.22894805708742","153.03209693030973","0.8746948838233948","167.23559410743465","168.21085972068585","0.8870269060134888","99.77239870557598","158.6207026928927","0.9870335459709167","202.89734285641342","249.3898428857854","0.9873946905136108","67.080078125","230.30890810806142","0.6628225445747375","246.62283305249184","316.1932967194414","0.9008737206459045","14.695000741996019","291.8851545215708","0.29975804686546326","78.52262210222631","129.34616493967783","0.8275412917137146","68.92717747906454","142.98589385716264","0.040334127843379974","185.01271765216504","335.5824482335454","0.11687283962965012","63.060605915543306","333.77657459900445","0.04982650279998779","184.79900684232027","291.235081495437","0.03437618911266327","1.386552698471967","319.58583595478433","0.02902260422706604","-6.0893583609387765","304.427717090708","0.045146435499191284","-9.003811505884906","306.6022322663164"
"7","0.5728218453552794","0.998078465461731","138.5483047385621","166.66240320796462","0.9962592124938965","148.99335873672388","153.17793314435843","0.9922544360160828","122.03251857383579","153.02939085833796","0.8669546246528625","167.34721264808007","168.33556588772126","0.8900241851806641","100.14355628319036","158.35831093577158","0.9856346845626831","203.3316419015523","250.0127093559873","0.9873359799385071","67.93877495659723","230.38644436186397","0.6615979671478271","246.19793262357027","316.2091766627489","0.9095744490623474","15.415011137918711","290.6913068653208","0.3005831241607666","77.63737298304738","130.73720746335732","0.8318528532981873","63.16326465482027","144.99961650477047","0.04144563898444176","151.37202244178923","342.5007561877766","0.11690305918455124","61.424500708486526","333.7611159603153","0.0513782724738121","184.3505540236928","290.8296568203817","0.034164268523454666","-1.9097105038711448","310.384996802406","0.02847125567495823","-5.2598237679674735","304.02828790445244","0.04545889422297478","-8.116353851517822","306.1692283427821"
"8","0.5674824021099245","0.9980965256690979","138.20781632965688","166.84103636615046","0.996425449848175","149.2563763786765","152.81410419835456","0.9926161766052246","122.23462073631536","152.9748157062362","0.8706782460212708","167.56031709558823","167.52380911227877","0.8998140096664429","100.30284607332517","158.5638589774613","0.9851199984550476","204.49336831086603","251.00945126693864","0.9869266152381897","67.77399599162582","230.60571721169802","0.6230984330177307","246.65728400735296","316.6969501866704","0.8991557955741882","13.152124741498163","291.5089619054204","0.28131693601608276","79.46130291309233","128.2119886010094","0.813507616519928","72.73312238306781","139.86796421287335","0.03917614370584488","151.69628267973857","342.4862697905144","0.10729778558015823","61.71090319265728","333.5648204162058","0.04993980750441551","211.32356132557192","311.63925305931974","0.03315984830260277","-2.1217523213305505","309.8094298776272","0.026440056040883064","-5.6381165747549025","304.7125514207688","0.04443139210343361","-8.561913982715483","306.67437258019913"
"9","0.5678165235063609","0.9981399774551392","137.91194342320262","166.74744192477877","0.9957089424133301","149.26875893586603","153.78362334935014","0.9917972087860107","122.45560789419936","153.94222833413994","0.854447603225708","167.47847413705065","167.7786984063883","0.9062005877494812","101.15717869178923","159.4049936480227","0.98432457447052","202.98054215175654","250.8916966261062","0.9879111051559448","67.70281224468954","230.4144449149613","0.6544502973556519","245.77532998876634","316.84430957895466","0.899444043636322","13.021492552913093","296.076163232854","0.2393321990966797","66.49497038398694","141.22317153795632","0.8216167688369751","67.7990563087214","144.15930823942202","0.04418157413601875","152.16091579861111","342.4345465465985","0.12478451430797577","62.08936105366626","333.03767111449116","0.054228492081165314","184.38409543504903","290.84446729811947","0.029288414865732193","-2.2050894942938113","311.37460894289273","0.02429501712322235","92.44411892361111","324.39172255254425","0.04272957891225815","-6.932012520584406","306.7902313502489"
